,Dateonmarket,Bathrooms,Bedrooms,City,Monthly Rental,SQFT,State,Zip_Code,streetAddress
196,2017-04-20,3.0,3.0, Staten Island ,3800.0,2876.0,NY ,10314.0,(Undisclosed Address)
197,2017-04-21,1.0,1.0, Staten Island ,1380.0,800.0,NY ,10314.0,45 Vassar St
198,2017-04-20,3.0,3.0, Staten Island ,3800.0,2876.0,NY ,10314.0,(Undisclosed Address)
199,2017-04-01,3.0,3.0, Staten Island ,3000.0,2408.0,NY ,10314.0,518 W Caswell Ave
200,2017-04-22,2.0,3.0, Staten Island ,2200.0,1600.0,NY ,10314.0,Stewart Ave
201,2017-04-21,1.0,1.0, Staten Island ,1350.0,1800.0,NY ,10314.0,208 Roman Ave
202,2017-04-20,1.0,3.0, Staten Island ,1800.0,1000.0,NY ,10314.0,26 Tillman Street # FL 2ND
203,2017-04-20,1.0,1.0, Staten Island ,1500.0,2004.0,NY ,10314.0,92 Amsterdam Ave
204,2017-04-19,2.0,3.0, Staten Island ,2450.0,2000.0,NY ,10314.0,11 Rockne St
205,2017-04-18,1.0,1.0, Staten Island ,1300.0,1000.0,NY ,10314.0,375 Manor Rd
206,2017-04-17,2.0,2.0, Staten Island ,2200.0,1150.0,NY ,10314.0,2 Richmond Hill Rd
207,2017-04-16,1.0,2.0, Staten Island ,1695.0,1824.0,NY ,10314.0,543 Manor Rd
208,2017-04-16,1.0,2.0, Staten Island ,1700.0,1000.0,NY ,10314.0,358 Melba Street # FL 1ST
209,2017-04-16,1.0,2.0, Staten Island ,1595.0,1800.0,NY ,10314.0,541 Manor Rd
210,2017-04-15,1.0,1.0, Staten Island ,1200.0,2538.0,NY ,10314.0,87 Amsterdam Ave # WALK
211,2017-04-13,3.0,3.0, Staten Island ,2500.0,2200.0,NY ,10314.0,196 Essex Dr
212,2017-04-12,1.0,1.0, Staten Island ,1450.0,649.0,NY ,10314.0,65 Elmwood Park Drive 19-B FL 1
213,2017-04-06,1.0,3.0, Staten Island ,1895.0,1800.0,NY ,10314.0,132 Paulding Avenue # First Floor
214,2017-04-05,1.0,1.0, Staten Island ,1200.0,1992.0,NY ,10314.0,Carnegie Ave
215,2017-04-05,1.0,2.0, Staten Island ,1500.0,800.0,NY ,10314.0,Dongan Avenue #
216,2017-04-01,3.0,3.0, Staten Island ,2475.0,1868.0,NY ,10314.0,Comstock Ave
217,2017-03-31,1.0,2.0, Staten Island ,1600.0,1872.0,NY ,10314.0,37 Gurdon St
218,2017-03-30,2.0,2.0, Staten Island ,1900.0,1414.0,NY ,10314.0,1458 Forest Hill Rd UNIT 1
219,2017-03-30,1.0,3.0, Staten Island ,2300.0,1000.0,NY ,10314.0,430 Slosson Avenue # FL 1ST
220,2017-03-29,1.0,3.0, Staten Island ,1900.0,1173.0,NY ,10314.0,164 Livermore Avenue # FL 2ND
221,2017-03-28,1.0,1.0, Staten Island ,1275.0,2340.0,NY ,10314.0,Woodbine Ave
222,2017-03-25,1.0,2.0, Staten Island ,1700.0,850.0,NY ,10314.0,535 Manor Road # FL 1ST
223,2017-03-25,1.0,1.0, Staten Island ,1500.0,591.0,NY ,10314.0,1301 Rockland Ave # 1ST
224,2017-03-24,1.0,1.0, Staten Island ,1500.0,800.0,NY ,10314.0,Rockland Ave
225,2017-03-24,1.0,1.0, Staten Island ,1350.0,1400.0,NY ,10314.0,53 Daffodil Ln # 53
226,2017-03-21,1.0,3.0, Staten Island ,2300.0,1300.0,NY ,10314.0,16 Dorothy Street # FL 2ND
227,2017-03-15,1.0,2.0, Staten Island ,1875.0,1000.0,NY ,10314.0,40 Rice Ave # 2
228,2017-03-13,1.0,3.0, Staten Island ,2300.0,1100.0,NY ,10314.0,Jennifer Pl
229,2017-03-11,3.0,3.0, Staten Island ,2350.0,1870.0,NY ,10314.0,78 Burke Ave
230,2017-02-21,1.0,1.0, Staten Island ,1375.0,500.0,NY ,10314.0,212 Merrymount St # 1
231,2017-02-13,1.0,3.0, Staten Island ,1800.0,1680.0,NY ,10314.0,44 Bradley Ave
